full_jaspar_motif,jaspar_motif,jaspar_name_1,jaspar_name_2,TFClass_name_1,TFClass_name_2,RNA_name_1,RNA_name_2,TFClass_subfamily_1,TFClass_family_1,TFClass_class_1,TFClass_superclass_1,TFClass_num_1,TFClass_subfamily_2,TFClass_family_2,TFClass_class_2,TFClass_superclass_2,TFClass_num_2,lowest_level_fam_1,lowest_level_fam_2
MA0138.2_REST,REST,REST,NA,REST,NA,REST,NA,unclassified,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.0.27,NA,NA,NA,NA,NA,Factors with multiple dispersed zinc fingers,NA
MA0152.1_NFATC2,NFATC2,NFATC2,NA,NFATc2,NA,NFATC2,NA,NA,NFAT-related,Rel homology region (RHR) factors,Immunoglobulin fold,6.1.3.0.2,NA,NA,NA,NA,NA,NFAT-related,NA
MA0155.1_INSM1,INSM1,INSM1,NA,INSM1,NA,INSM1,NA,Insulinoma-associated proteins,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.16.1,NA,NA,NA,NA,NA,Insulinoma-associated proteins,NA
MA0159.1_RARA::RXRA,RARA::RXRA,RARA,RXRA,"RARALPHA (RARA, NR1B1)",RXRALPHA (NR2B1),RARA,RXRA,RAR(NR1B),Thyroid hormone receptor-related factors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.2.1.1,RXR(NR2B),RXR-related receptors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.3.1.1,RAR(NR1B),RXR(NR2B)
MA0160.1_NR4A2,NR4A2,NR4A2,NA,NURR1 (NR4A2),NA,NR4A2,NA,NA,NGFI(NR4A),Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.4.0.2,NA,NA,NA,NA,NA,NGFI(NR4A),NA
MA0163.1_PLAG1,PLAG1,PLAG1,NA,PLAG1,NA,PLAG1,NA,PLAG,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.25.2,NA,NA,NA,NA,NA,PLAG,NA
MA0259.1_ARNT::HIF1A,ARNT::HIF1A,ARNT,HIF1A,ARNT,HIF1A (hif1alpha),ARNT,HIF1A,PAS-ARNT,PAS,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.5.2.1,PAS-AHR,PAS,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.5.1.5,PAS-ARNT,PAS-AHR
MA0468.1_DUX4,DUX4,DUX4,NA,DUX4,NA,DUX4,NA,DUX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.7.5,NA,NA,NA,NA,NA,DUX,NA
MA0476.1_FOS,FOS,FOS,NA,c-Fos,NA,FOS,NA,Fos,Fos-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.2.1.1,NA,NA,NA,NA,NA,Fos,NA
MA0478.1_FOSL2,FOSL2,FOSL2,NA,Fra-2,NA,FOSL2,NA,Fos,Fos-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.2.1.4,NA,NA,NA,NA,NA,Fos,NA
MA0479.1_FOXH1,FOXH1,FOXH1,NA,FOXH1,NA,FOXH1,NA,FOXH,FOX,Fork head / winged helix factors,Helix-turn-helix domains,3.3.1.8.1,NA,NA,NA,NA,NA,FOXH,NA
MA0488.1_JUN,JUN,JUN,NA,c-Jun,NA,JUN,NA,Jun,Jun-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.1.1.1,NA,NA,NA,NA,NA,Jun,NA
MA0489.1_JUN(var.2),JUN(var.2),JUN,NA,c-Jun,NA,JUN,NA,Jun,Jun-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.1.1.1,NA,NA,NA,NA,NA,Jun,NA
MA0492.1_JUND(var.2),JUND(var.2),JUND,NA,JunD,NA,JUND,NA,Jun,Jun-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.1.1.3,NA,NA,NA,NA,NA,Jun,NA
MA0497.1_MEF2C,MEF2C,MEF2C,NA,MEF2C,NA,MEF2C,NA,MEF2,Regulators of differentiation,MADS box factors,alpha-Helices exposed by beta-structures,5.1.1.1.3,NA,NA,NA,NA,NA,MEF2,NA
MA0501.1_MAF::NFE2,MAF::NFE2,MAF,NFE2,MAF (c-MAF),NFE2,MAF,NFE2,Large MAF,Maf-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.3.1.1,NFE2,Jun-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.1.2.1,Large MAF,NFE2
MA0504.1_NR2C2,NR2C2,NR2C2,NA,TR4 (NR2C2),NA,NR2C2,NA,TR(NR2C),RXR-related receptors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.3.4.2,NA,NA,NA,NA,NA,TR(NR2C),NA
MA0506.1_NRF1,NRF1,NRF1,NA,NRF1,NA,NRF1,NA,NA,NRF,Uncharacterized,Yet undefined DNA-binding domains,0.0.6.0.1,NA,NA,NA,NA,NA,NRF,NA
MA0507.1_POU2F2,POU2F2,POU2F2,NA,POU2F2 (Oct-2),NA,POU2F2,NA,POU2,POU,Homeo domain factors,Helix-turn-helix domains,3.1.10.2.2,NA,NA,NA,NA,NA,POU2,NA
MA0513.1_SMAD2::SMAD3::SMAD4,SMAD2::SMAD3::SMAD4,SMAD2,SMAD3,SMAD2,SMAD3,SMAD2,SMAD3,R-MAD,SMAD,SMAD/NF-1 DNA-binding domain factors,beta-Hairpin exposed by an alpha/beta-scaffold,7.1.1.1.2,R-MAD,SMAD,SMAD/NF-1 DNA-binding domain factors,beta-Hairpin exposed by an alpha/beta-scaffold,7.1.1.1.3,R-MAD,R-MAD
MA0517.1_STAT1::STAT2,STAT1::STAT2,STAT1,STAT2,STAT1,STAT2,STAT1,STAT2,NA,STAT,STAT domain factors,Immunoglobulin fold,6.2.1.0.1,NA,STAT,STAT domain factors,Immunoglobulin fold,6.2.1.0.2,STAT,STAT
MA0523.1_TCF7L2,TCF7L2,TCF7L2,NA,TCF-7L2,NA,TCF7L2,NA,NA,TCF7-related,High-mobility group (HMG) domain factors,Other all-alpha-helical DNA-binding domains,4.1.3.0.3,NA,NA,NA,NA,NA,TCF7-related,NA
MA0527.1_ZBTB33,ZBTB33,ZBTB33,NA,ZBTB33,NA,ZBTB33,NA,BTB-POZ,Other factors with up to three adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.2.1.12,NA,NA,NA,NA,NA,BTB-POZ,NA
MA0076.2_ELK4,ELK4,ELK4,NA,ELK4,NA,ELK4,NA,ELK-like,Ets-related,Tryptophan cluster factors,Helix-turn-helix domains,3.5.2.2.3,NA,NA,NA,NA,NA,ELK-like,NA
MA0258.2_ESR2,ESR2,ESR2,NA,"ERBETA (ESR2, NR3A2)",NA,ESR2,NA,ER-like(NR3A),Steroid hormone receptors,Nuclear receptors with C4 zinc fingers,Zinc-coordinating DNA-binding domains,2.1.1.2.2,NA,NA,NA,NA,NA,ER-like(NR3A),NA
MA0050.2_IRF1,IRF1,IRF1,NA,IRF1,NA,IRF1,NA,NA,IRF,Tryptophan cluster factors,Helix-turn-helix domains,3.5.3.0.1,NA,NA,NA,NA,NA,IRF,NA
MA0137.3_STAT1,STAT1,STAT1,NA,STAT1,NA,STAT1,NA,NA,STAT,STAT domain factors,Immunoglobulin fold,6.2.1.0.1,NA,NA,NA,NA,NA,STAT,NA
MA0144.2_STAT3,STAT3,STAT3,NA,STAT3,NA,STAT3,NA,NA,STAT,STAT domain factors,Immunoglobulin fold,6.2.1.0.3,NA,NA,NA,NA,NA,STAT,NA
MA0140.2_GATA1::TAL1,GATA1::TAL1,GATA1,TAL1,GATA1,TAL1,GATA1,TAL1,GATA double,C4-GATA-related,Other C4 zinc finger-type factors,Zinc-coordinating DNA-binding domains,2.2.1.1.1,TAL-HEN,Tal-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.3.1.1,GATA double,TAL-HEN
MA0095.2_YY1,YY1,YY1,NA,YY1 (YY12),NA,YY1,NA,YY1-like,More than 3 adjacent zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.3.9.1,NA,NA,NA,NA,NA,YY1-like,NA
MA0593.1_FOXP2,FOXP2,FOXP2,NA,FOXP2,NA,FOXP2,NA,FOXP,FOX,Fork head / winged helix factors,Helix-turn-helix domains,3.3.1.16.2,NA,NA,NA,NA,NA,FOXP,NA
MA0595.1_SREBF1,SREBF1,SREBF1,NA,SREBF1,NA,SREBF1,NA,SREBF,bHLH-ZIP,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.6.3.1,NA,NA,NA,NA,NA,SREBF,NA
MA0596.1_SREBF2,SREBF2,SREBF2,NA,SREBF2,NA,SREBF2,NA,SREBF,bHLH-ZIP,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.6.3.2,NA,NA,NA,NA,NA,SREBF,NA
MA0597.1_THAP1,THAP1,THAP1,NA,THAP1,NA,THAP1,NA,NA,THAP,C2CH THAP-type zinc finger factors,Zinc-coordinating DNA-binding domains,2.9.1.0.1,NA,NA,NA,NA,NA,THAP,NA
MA0599.1_KLF5,KLF5,KLF5,NA,KLF5,NA,KLF5,NA,Kr-like,Three-zinc finger Krüppel-related,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.1.2.5,NA,NA,NA,NA,NA,Kr-like,NA
MA0610.1_DMRT3,DMRT3,DMRT3,NA,"DMRT3 (DMRT3a, DMRT3b)",NA,DMRT3,NA,NA,DMRT,DM-type intertwined zinc finger factors,Zinc-coordinating DNA-binding domains,2.5.1.0.3,NA,NA,NA,NA,NA,DMRT,NA
MA0613.1_FOXG1,FOXG1,FOXG1,NA,FOXG1,NA,FOXG1,NA,FOXG,FOX,Fork head / winged helix factors,Helix-turn-helix domains,3.3.1.7.1,NA,NA,NA,NA,NA,FOXG,NA
MA0618.1_LBX1,LBX1,LBX1,NA,LBX1,NA,LBX1,NA,LBX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.10.1,NA,NA,NA,NA,NA,LBX,NA
MA0625.1_NFATC3,NFATC3,NFATC3,NA,NFATc3,NA,NFATC3,NA,NA,NFAT-related,Rel homology region (RHR) factors,Immunoglobulin fold,6.1.3.0.3,NA,NA,NA,NA,NA,NFAT-related,NA
MA0628.1_POU6F1,POU6F1,POU6F1,NA,POU6F1 (Brn-5),NA,POU6F1,NA,POU6,POU,Homeo domain factors,Helix-turn-helix domains,3.1.10.6.1,NA,NA,NA,NA,NA,POU6,NA
MA0630.1_SHOX,SHOX,SHOX,NA,SHOX,NA,SHOX,NA,SHOX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.25.1,NA,NA,NA,NA,NA,SHOX,NA
MA0634.1_ALX3,ALX3,ALX3,NA,ALX3,NA,ALX3,NA,ALX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.1.2,NA,NA,NA,NA,NA,ALX,NA
MA0635.1_BARHL2,BARHL2,BARHL2,NA,BARHL2,NA,BARHL2,NA,BARHL,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.1.2,NA,NA,NA,NA,NA,BARHL,NA
MA0636.1_BHLHE41,BHLHE41,BHLHE41,NA,DEC2/BHLHE41,NA,BHLHE41,NA,HAIRY,Hairy-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.4.1.13,NA,NA,NA,NA,NA,HAIRY,NA
MA0637.1_CENPB,CENPB,CENPB,NA,NA,NA,CENPB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MA0638.1_CREB3,CREB3,CREB3,NA,CREB3,NA,CREB3,NA,CREB3-like,CREB-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.7.2.1,NA,NA,NA,NA,NA,CREB3-like,NA
MA0639.1_DBP,DBP,DBP,NA,DBP,NA,DBP,NA,PAR,CEBP-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.8.2.1,NA,NA,NA,NA,NA,PAR,NA
MA0641.1_ELF4,ELF4,ELF4,NA,Elf-4,NA,ELF4,NA,ELF1-like,Ets-related,Tryptophan cluster factors,Helix-turn-helix domains,3.5.2.3.3,NA,NA,NA,NA,NA,ELF1-like,NA
MA0136.2_ELF5,ELF5,ELF5,NA,Elf-5,NA,ELF5,NA,EHF-like,Ets-related,Tryptophan cluster factors,Helix-turn-helix domains,3.5.2.4.3,NA,NA,NA,NA,NA,EHF-like,NA
MA0027.2_EN1,EN1,EN1,NA,EN1,NA,EN1,NA,EN,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.7.1,NA,NA,NA,NA,NA,EN,NA
MA0642.1_EN2,EN2,EN2,NA,EN2,NA,EN2,NA,EN,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.7.2,NA,NA,NA,NA,NA,EN,NA
MA0644.1_ESX1,ESX1,ESX1,NA,ESX1,NA,ESX1,NA,ESX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.8.1,NA,NA,NA,NA,NA,ESX,NA
MA0645.1_ETV6,ETV6,ETV6,NA,ETV6,NA,ETV6,NA,ETV6-like,Ets-related,Tryptophan cluster factors,Helix-turn-helix domains,3.5.2.6.1,NA,NA,NA,NA,NA,ETV6-like,NA
MA0475.2_FLI1,FLI1,FLI1,NA,Fli-1,NA,FLI1,NA,ETS-like,Ets-related,Tryptophan cluster factors,Helix-turn-helix domains,3.5.2.1.6,NA,NA,NA,NA,NA,ETS-like,NA
MA0042.2_FOXI1,FOXI1,FOXI1,NA,FOXI1,NA,FOXI1,NA,FOXI,FOX,Fork head / winged helix factors,Helix-turn-helix domains,3.3.1.9.1,NA,NA,NA,NA,NA,FOXI,NA
MA0033.2_FOXL1,FOXL1,FOXL1,NA,FOXL1,NA,FOXL1,NA,FOXL,FOX,Fork head / winged helix factors,Helix-turn-helix domains,3.3.1.12.1,NA,NA,NA,NA,NA,FOXL,NA
MA0157.2_FOXO3,FOXO3,FOXO3,NA,FOXO3,NA,FOXO3,NA,FOXO,FOX,Fork head / winged helix factors,Helix-turn-helix domains,3.3.1.15.2,NA,NA,NA,NA,NA,FOXO,NA
MA0646.1_GCM1,GCM1,GCM1,NA,GCM1,NA,GCM1,NA,NA,GCM,GCM domain factors,beta-Hairpin exposed by an alpha/beta-scaffold,7.2.1.0.1,NA,NA,NA,NA,NA,GCM,NA
MA0647.1_GRHL1,GRHL1,GRHL1,NA,GRH-L1,NA,GRHL1,NA,GRH-like,Grainyhead-related,Grainyhead,Immunoglobulin fold,6.7.1.1.1,NA,NA,NA,NA,NA,GRH-like,NA
MA0648.1_GSC,GSC,GSC,NA,GSC,NA,GSC,NA,GSC,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.9.1,NA,NA,NA,NA,NA,GSC,NA
MA0649.1_HEY2,HEY2,HEY2,NA,HEY2,NA,HEY2,NA,HAIRY,Hairy-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.4.1.9,NA,NA,NA,NA,NA,HAIRY,NA
MA0131.2_HINFP,HINFP,HINFP,NA,HINFP,NA,HINFP,NA,HINFP-like,Factors with multiple dispersed zinc fingers,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.4.21.1,NA,NA,NA,NA,NA,HINFP-like,NA
MA0046.2_HNF1A,HNF1A,HNF1A,NA,HNF1A,NA,HNF1A,NA,HNF1-like,POU,Homeo domain factors,Helix-turn-helix domains,3.1.10.7.1,NA,NA,NA,NA,NA,HNF1-like,NA
MA0153.2_HNF1B,HNF1B,HNF1B,NA,HNF1B,NA,HNF1B,NA,HNF1-like,POU,Homeo domain factors,Helix-turn-helix domains,3.1.10.7.2,NA,NA,NA,NA,NA,HNF1-like,NA
MA0651.1_HOXC11,HOXC11,HOXC11,NA,HOXC11,NA,HOXC11,NA,HOX9-13,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.8.10,NA,NA,NA,NA,NA,HOX9-13,NA
MA0486.2_HSF1,HSF1,HSF1,NA,HSF1,NA,HSF1,NA,NA,HSF,Heat shock factors,Helix-turn-helix domains,3.4.1.0.1,NA,NA,NA,NA,NA,HSF,NA
MA0652.1_IRF8,IRF8,IRF8,NA,IRF8,NA,IRF8,NA,NA,IRF,Tryptophan cluster factors,Helix-turn-helix domains,3.5.3.0.8,NA,NA,NA,NA,NA,IRF,NA
MA0653.1_IRF9,IRF9,IRF9,NA,IRF9,NA,IRF9,NA,NA,IRF,Tryptophan cluster factors,Helix-turn-helix domains,3.5.3.0.9,NA,NA,NA,NA,NA,IRF,NA
MA0654.1_ISX,ISX,ISX,NA,ISX,NA,ISX,NA,ISX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.12.1,NA,NA,NA,NA,NA,ISX,NA
MA0655.1_JDP2,JDP2,JDP2,NA,JDP-2,NA,JDP2,NA,ATF3-like,Fos-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.2.2.2,NA,NA,NA,NA,NA,ATF3-like,NA
MA0656.1_JDP2(var.2),JDP2(var.2),JDP2,NA,JDP-2,NA,JDP2,NA,ATF3-like,Fos-related,Basic leucine zipper factors (bZIP),Basic domains,1.1.2.2.2,NA,NA,NA,NA,NA,ATF3-like,NA
MA0657.1_KLF13,KLF13,KLF13,NA,KLF13,NA,KLF13,NA,Kr-like,Three-zinc finger Krüppel-related,C2H2 zinc finger factors,Zinc-coordinating DNA-binding domains,2.3.1.2.13,NA,NA,NA,NA,NA,Kr-like,NA
MA0658.1_LHX6,LHX6,LHX6,NA,LHX6,NA,LHX6,NA,LHX6-like,HD-LIM,Homeo domain factors,Helix-turn-helix domains,3.1.5.5.1,NA,NA,NA,NA,NA,LHX6-like,NA
MA0660.1_MEF2B,MEF2B,MEF2B,NA,MEF2B,NA,MEF2B,NA,MEF2,Regulators of differentiation,MADS box factors,alpha-Helices exposed by beta-structures,5.1.1.1.2,NA,NA,NA,NA,NA,MEF2,NA
MA0661.1_MEOX1,MEOX1,MEOX1,NA,MEOX1,NA,MEOX1,NA,MEOX,HOX,Homeo domain factors,Helix-turn-helix domains,3.1.1.14.1,NA,NA,NA,NA,NA,MEOX,NA
MA0662.1_MIXL1,MIXL1,MIXL1,NA,MIXL1,NA,MIXL1,NA,MIX,Paired-related HD,Homeo domain factors,Helix-turn-helix domains,3.1.3.14.1,NA,NA,NA,NA,NA,MIX,NA
MA0663.1_MLX,MLX,MLX,NA,MLX (BHLHD13),NA,MLX,NA,MONDOlike,bHLH-ZIP,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.6.6.1,NA,NA,NA,NA,NA,MONDOlike,NA
MA0664.1_MLXIPL,MLXIPL,MLXIPL,NA,MONDOB,NA,MLXIPL,NA,MONDOlike,bHLH-ZIP,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.6.6.3,NA,NA,NA,NA,NA,MONDOlike,NA
MA0665.1_MSC,MSC,MSC,NA,MSC,NA,MSC,NA,MESP,Tal-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.3.3.4,NA,NA,NA,NA,NA,MESP,NA
MA0666.1_MSX1,MSX1,MSX1,NA,MSX1,NA,MSX1,NA,MSX,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.11.1,NA,NA,NA,NA,NA,MSX,NA
MA0667.1_MYF6,MYF6,MYF6,NA,MYF6,NA,MYF6,NA,Myogenic TFs,MyoD-ASC-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.2.1.4,NA,NA,NA,NA,NA,Myogenic TFs,NA
MA0668.1_NEUROD2,NEUROD2,NEUROD2,NA,NEUROD2,NA,NEUROD2,NA,Neurogenin-ATO,Tal-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.3.4.2,NA,NA,NA,NA,NA,Neurogenin-ATO,NA
MA0669.1_NEUROG2,NEUROG2,NEUROG2,NA,NGN2/NEUROG2,NA,NEUROG2,NA,Neurogenin-ATO,Tal-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.3.4.6,NA,NA,NA,NA,NA,Neurogenin-ATO,NA
MA0670.1_NFIA,NFIA,NFIA,NA,NF-1A,NA,NFIA,NA,NA,NF-1,SMAD/NF-1 DNA-binding domain factors,beta-Hairpin exposed by an alpha/beta-scaffold,7.1.2.0.1,NA,NA,NA,NA,NA,NF-1,NA
MA0671.1_NFIX,NFIX,NFIX,NA,NF-1X,NA,NFIX,NA,NA,NF-1,SMAD/NF-1 DNA-binding domain factors,beta-Hairpin exposed by an alpha/beta-scaffold,7.1.2.0.4,NA,NA,NA,NA,NA,NF-1,NA
MA0048.2_NHLH1,NHLH1,NHLH1,NA,HEN1 (NHLH1),NA,NHLH1,NA,TAL-HEN,Tal-related,Basic helix-loop-helix factors (bHLH),Basic domains,1.2.3.1.4,NA,NA,NA,NA,NA,TAL-HEN,NA
MA0672.1_NKX2-3,NKX2-3,NKX2-3,NA,NKX2-3,NA,NKX2-3,NA,NK4,NK,Homeo domain factors,Helix-turn-helix domains,3.1.2.17.1,NA,NA,NA,NA,NA,NK4,NA
